Model,Seed,No_of_Hidden_Layers,No_of_Hidden_Units,Batch_Size,Num_Epochs,Learning_Rate,Training_Loss,Training_Accuracy,Testing_Loss,Testing_Accuracy,True_positive,True_negative,False_positive,False_negative,Precision_PositivePredictedValue,Recall_TruePositiveRate,F1_score_positive_class,NegativePredictedValue,Specificity_TrueNegativeRate,F1_score_negative_class,ROC_AUC_score,Cohen_kappa_score,Balanced_accuracy,Matthews_correlation_coefficient
65,1598,2,10,16,120,0.007048986,0.043525854,58,0.044839611,58,19,49,13,34,0.578192489,0.349099376,0.416831097,0.585136116,0.783735546,0.667654272,0.566417461,0.134684729,0.566417461,0.145464562
111,2036,3,185,64,65,0.001609916,0.012220369,55.8,0.012553624,58.2,22,46,16,31,0.46185518,0.400037049,0.428249265,0.591894878,0.733272063,0.649347769,0.566654556,0.134667566,0.566654556,0.135941292
142,7844,2,140,16,135,0.00040793,0.049198089,52,0.045264927,57.4,19,48,14,34,0.584333795,0.347964114,0.413759752,0.586045194,0.78489885,0.664376043,0.566431482,0.134096248,0.566431482,0.148921505
10,3434,2,65,256,45,0.002596743,0.003624216,54.6,0.005797545,58.2,14,54,8,39,0.381568915,0.261656887,0.309336212,0.583136066,0.868493064,0.690943412,0.565074975,0.131873486,0.565074975,0.139514533
25,9532,4,130,24,125,0.000544282,0.039757127,53.2,0.029800653,58.4,26,42,20,27,0.481325864,0.458266077,0.440525134,0.480841471,0.66619483,0.555880625,0.562230453,0.128142149,0.562230453,0.135163885
118,185,3,130,16,80,0.006624899,0.044033652,57,0.044558835,58.6,14,54,8,39,0.597798861,0.268975028,0.352404416,0.579291765,0.855924295,0.690049042,0.562449662,0.126968111,0.562449662,0.145936601
59,6070,3,100,32,25,0.00486511,0.022575478,54.2,0.024050052,58.2,14,54,8,39,0.530901749,0.253852106,0.334830415,0.575266739,0.867339859,0.688858948,0.560595982,0.126274668,0.560595982,0.151289864
6,5608,2,120,56,145,0.000848622,0.013714237,55.8,0.014645739,58.8,23,45,17,30,0.436507937,0.42309465,0.4008704,0.608887103,0.70196529,0.632790275,0.56252997,0.124803394,0.56252997,0.126707865
133,740,2,185,32,165,0.000591971,0.028850875,51.6,0.023849492,57.6,18,49,13,35,0.48060005,0.323588338,0.377424618,0.582199296,0.800279565,0.667883226,0.561933952,0.124233747,0.561933952,0.134680489
108,3066,2,35,32,45,0.00331684,0.025227026,50.8,0.024330298,58,14,54,8,39,0.659550157,0.262273362,0.348572816,0.574989343,0.853934106,0.682573863,0.558103734,0.12194476,0.558103734,0.162280549
104,2214,4,140,16,25,0.001149501,0.049119874,51.2,0.04586435,57.2,17,50,12,36,0.601188303,0.304031784,0.360254943,0.58174173,0.814938979,0.669282862,0.559485382,0.121227843,0.559485382,0.142465032
2,7918,3,60,48,135,0.001046298,0.017369634,53.6,0.017248964,57.2,15,52,10,38,0.362648172,0.2733728,0.305323214,0.58401863,0.847197138,0.680309605,0.560284969,0.120687764,0.560284969,0.126172991
85,9894,2,150,8,140,0.000285219,0.099179052,56.6,0.088192291,57.2,20,47,15,33,0.468504274,0.359104043,0.395940944,0.584658835,0.762206542,0.652817741,0.560655293,0.120517714,0.560655293,0.128994411
39,1953,4,90,64,60,0.007929898,0.012247017,57.8,0.012406225,57.8,19,48,13,34,0.460269746,0.340096183,0.38898053,0.582780712,0.777197085,0.662422535,0.558646634,0.118204642,0.558646634,0.122381991
50,641,2,145,56,50,0.001272145,0.015594287,53.6,0.015000815,58,21,47,15,32,0.464113673,0.38174088,0.396040778,0.592163391,0.732981277,0.643305799,0.557361078,0.116739903,0.557361078,0.125172776
125,2187,3,180,256,40,0.006187404,0.002943732,55.2,0.0058403,58.2,15,52,10,38,0.462728249,0.285978041,0.33874435,0.58036793,0.828168081,0.679041759,0.557073061,0.11441658,0.557073061,0.119957638
144,8227,2,175,40,85,0.000187005,0.019392464,53.2,0.018623753,56.8,29,37,25,24,0.557276676,0.537871897,0.491992078,0.587217848,0.575891006,0.540542758,0.556881452,0.114347061,0.556881452,0.123006152
41,7128,2,70,16,75,0.002756383,0.043967908,56.6,0.04462424,57,18,48,14,35,0.562177066,0.341463439,0.418986039,0.575005621,0.769713649,0.657263504,0.555588544,0.114169106,0.555588544,0.123423329
106,8820,2,40,256,90,0.007497151,0.00296675,56.2,0.005798407,56.4,27,39,23,26,0.546489362,0.487340155,0.497510304,0.559098786,0.625882831,0.577150517,0.556611493,0.113643754,0.556611493,0.110120093
5,1366,3,40,40,40,0.007282926,0.017893759,53.8,0.018550939,56.8,30,36,26,23,0.55587963,0.544295387,0.489356196,0.486958001,0.568253468,0.517145245,0.556274427,0.112909695,0.556274427,0.121676231
47,4562,1,110,40,190,0.001193094,0.02038471,53.2,0.018516716,56.6,29,37,25,24,0.540659786,0.535668189,0.510003402,0.480744149,0.575118783,0.522335864,0.555393486,0.112468013,0.555393486,0.115341294
130,9515,2,15,16,110,0.002492006,0.057956047,57.2,0.044572607,57,19,48,14,34,0.555661006,0.341122004,0.410099761,0.576583499,0.768215316,0.655765361,0.55466866,0.11221914,0.55466866,0.120093028
131,4786,2,85,40,50,0.001108078,0.023328417,52.2,0.018950489,55.2,30,34,27,23,0.523159847,0.562717924,0.512490616,0.485219256,0.549578141,0.510496976,0.556148033,0.112103113,0.556148033,0.112884625
113,1274,4,95,48,115,0.004131219,0.014569048,59.2,0.017182385,57.2,17,49,12,36,0.470128845,0.310731444,0.371548919,0.575842389,0.800087257,0.6660356,0.55540935,0.111928272,0.55540935,0.12032713
36,5620,4,155,56,95,0.000575414,0.01451299,53.6,0.014895107,57,15,51,11,38,0.349487179,0.287277542,0.31449844,0.579428437,0.820810214,0.66948629,0.554043878,0.109058116,0.554043878,0.110896695
77,4639,2,135,16,65,0.00044921,0.047742516,53.8,0.045382654,56.4,17,48,13,36,0.553376623,0.317021425,0.370406279,0.576910093,0.788533781,0.659104658,0.552777603,0.105581656,0.552777603,0.115359874
